id,title,description,availability,condition,price,link,image_link,brand,google_product_category
62,La Vie en Rouge – Rosas Premium Mérida | Delour Floristería,"Descubre La Vie en Rouge, rosas premium con diseño exclusivo. Entrega de flores a domicilio en Mérida en tiempo récord. ¡Ordena ahora!",in_stock,new,710.00 MXN,https://delour.mx/productos/vie-rouge-merida,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NzY4LCJwdXIiOiJibG9iX2lkIn19--a741f22a3472e9d05f24cfe0462c194f9b5473d7/La-vie-en-rouge-ramos-de-rosas-en-merida.webp,Delour,2899
64,Bellarosa – Ramo de rosas premium en Mérida | Delour,"Regala elegancia con el ramo Bellarosa de rosas premium. Entrega a domicilio en Mérida, Yucatán. ¡Ordena ahora y sorprende!",in_stock,new,1150.00 MXN,https://delour.mx/productos/ramo-bellarosa-merida-domicilio,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTEyNywicHVyIjoiYmxvYl9pZCJ9fQ==--4d7d16793dee43434f44a2bd41891aea37b08634/Bella-Rosa-ramo-de-rosas-rosadas-en-me%CC%81rida.webp,Delour,2899
20,Dulce Detalle: Arreglo Floral en Mérida - Delour,"Descubre Dulce Detalle, arreglo floral con rosas rosadas y marfil en vaso térmico. Entrega rápida en Mérida, Yucatán. Regala encanto con Delour Floristería. ¡Ordena ahora!",in_stock,new,1150.00 MXN,https://delour.mx/productos/dulce-detalle-arreglo-floral-merida,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MjQwLCJwdXIiOiJibG9iX2lkIn19--ee0301b81e963d1abb298994d1b86ab9313148c4/dulce-detalle-floreria-en-merida.webp,Delour,2899
86,Incanto: Flores de Lujo en Mérida | Delour,"Descubre Incanto, el ramo floral de Delour. Envío a domicilio en Mérida. Elegancia y ternura en cada detalle. ¡Pide el tuyo!",in_stock,new,1149.00 MXN,https://delour.mx/productos/ramo-incanto-flores-merida,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTIxMywicHVyIjoiYmxvYl9pZCJ9fQ==--bb6d8dc8430ce2922718213772383da869c85a3c/Incanto-ramos-de-rosas-en-merida.webp,Delour,2899
68,Serenata Delour – Rosas en Mérida | Delour Floristería,"Descubre el ramo Serenata Delour, 12 o 24 rosas premium con diseño europeo. Entrega rápida a domicilio en Mérida. Ordena ahora y sorprende.",in_stock,new,1420.00 MXN,https://delour.mx/productos/serenata-delour-merida,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6Nzk2LCJwdXIiOiJibG9iX2lkIn19--341482949b678805e636838048bc010e42a46332/Serenata-Delour-ramo-de-rosas-en-merida.webp,Delour,2899
65,Blanc Crème: Rosas Blancas Mérida | Delour Floristería,Elegante ramo Blanc Crème de rosas blancas premium. ¡Entrega floral en Mérida! Paz y sofisticación. Compra segura en Delour Floristería.,in_stock,new,685.00 MXN,https://delour.mx/productos/ramo-rosas-blancas-premium-merida-delour,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NzM0LCJwdXIiOiJibG9iX2lkIn19--bc548b5ea793ed198ffc22b2068793d7b0042de2/Blanc-Creme%CC%81-ramo-de-rosas-en-merida.%20Romantico%20Atardecer.webp,Delour,2899
71,Dulce Momento: Flores Lujo Mérida - Delour,"Celebra momentos únicos con Dulce Momento, arreglos florales exclusivos en Mérida. Elegancia y frescura entregada a domicilio. ¡Sorprende hoy!",in_stock,new,1299.00 MXN,https://delour.mx/productos/dulce-momento-arreglos-flores-lujo-merida,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODQ3LCJwdXIiOiJibG9iX2lkIn19--aad470cc175c1eac49ea79afabe52706198b5c9a/Dulce-momento-florerias-en-merida.webp,Delour,2899
67,Rouge Amour: rosas rojas en Mérida | Delour Floristería,"Sorprende con Rouge Amour, ramo de 24‑48 rosas rojas premium y empapelado coreano, entrega rápida a domicilio en Mérida. ¡Ordena ahora!",in_stock,new,2180.00 MXN,https://delour.mx/productos/rouge-amour-rosas-rojas-merida,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTE5MywicHVyIjoiYmxvYl9pZCJ9fQ==--15c9b99fdcece1d8cc0b2379c0238ad3f3ea2499/Rouge-amour-ramos-de-rosas-en-merida.webp,Delour,2899
63,Golden Dubai: Flores Lujo Mérida | Delour,Descubre Golden Dubai by Delour: rosas premium con oro en Mérida. Envío de lujo a domicilio. ¡Regalo inolvidable!,in_stock,new,2790.00 MXN,https://delour.mx/productos/golden-dubai-regalo-flores-lujo-merida,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6Njk4LCJwdXIiOiJibG9iX2lkIn19--9ed1921e3a8007a07dbaf666013ebdf21a082779/Golden-dubai-flores-doradas-florerias-en-merida.webp,Delour,2899
27,Eau de Lune: Bouquet Elegante en Mérida | Delour,"Descubre Eau de Lune, bouquet de lirios blancos y hortensias en Delour Floristería. Entrega rápida a domicilio en Mérida, Yucatán. Expresa gratitud con elegancia atemporal. ¡Ordena ahora!",in_stock,new,1300.00 MXN,https://delour.mx/productos/eau-de-lune-bouquet-merida-yucatan,https://delour.mx/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NjU5LCJwdXIiOiJibG9iX2lkIn19--55f3d18432a81d8f2d941373740743bfd6b8a640/Eau-de-Lune-ramos-de-flores-en-merida.webp,Delour,2899
